"Zeitstempel","How was your impression of the course organization?","How was your experience with GitHub and Codespaces?","Have you received enough support from the supervisors?","Have you mostly worked alone or in groups?","For you personally, what was the greatest challenge? For example, were there any specific problems which you ran into very often?","In your opinion, how helpful was the introduction to GitHub, Codespaces, Visual Studio Code, and Jupyter Notebooks in Lab Session 1?","How difficult was Task 1.4? (Writing loops in Python)","Please only answer if you chose ""too difficult"" for one of the questions above. For you personally, what was the greatest challenge?","In your opinion, how interesting/relevant was Lab Session 2?","How difficult was Task 1? (Image IO)","How difficult was Task 2? (Histograms)","How difficult was Task 3? (Intensity clipping)","Please only answer this question if you tried the Bonus Task (Writing re-usable code). How difficult was it?","Please only answer if you chose ""too difficult"" for one of the questions above. For you personally, what was the greatest challenge?","In your opinion, how interesting/relevant was Lab Session 3?","How difficult was Task 1? (Linear filtering by convolution)","How difficult was Task 2? (Non-linear filtering)","How difficult was Task 3? (Using pre-implemented filters)","Please only answer this question if you tried the Bonus Task (Slicing and benchmarking). How difficult was it?","Please only answer if you chose ""too difficult"" for one of the questions above. For you personally, what was the greatest challenge?","In your opinion, how interesting/relevant was Lab Session 4?","How difficult was the Task 1? (Prewitt filter)","How difficult was the Task 2? (Edge detection)","How difficult was the Task 3? (Sobel filter)","Please only answer if you chose ""too difficult"" for one of the questions above. For you personally, what was the greatest challenge?","Do you have any general criticism or suggestions regarding the organization or the content of the course, or the course as a whole?"
"2024/02/08 9:08:21 AM MEZ","1","3","4","Mostly in groups of two students","All","2","3","","3","4","4","4","","","4","5","5","5","5","Wir wussten nicht, wie wir anfangen sollen, wir sind leider nicht mit der ersten Nummer von Lab 3 fertig geworden ","4","4","5","5","Es war ein sehr hohes Niveau","Es ist ein sehr hohes Niveau"
"2024/02/08 9:10:11 AM MEZ","2","2","1","Mostly in groups of three students","Finden der richtigen Funktionen und ausdrücke um bestimmt Sachen zu erreichen","2","2","","2","3","2","3","","","3","4","2","3","","","","3","3","3","","Ich fand die Erklärungen gut verständlich und hatte auch immer eine Idee wie ich dies in Code umsetzen kann… allerdings fand ich es schwer die Funktionen und Operatoren zu finden um dies umzusetzen… 
Vielleicht wäre eine Liste mit möglichen commands hilfreich"
"2024/02/08 9:37:26 AM MEZ","2","4","2","Mostly in groups of two students","Sehr sehr schwer anzufangen zu codieren mit komplexen Fragenstellungen. 
Wenn man eine Beispielmaske mal gesehen hätte wäre das sehr hilfreich (also eine in der Programmiersprache und nicht als eine Tabelle)","2","2","","2","2","2","2","3","","1","5","4","2","","Difficulty level was insanely higher then the questions asked before","2","4","","","","It would be great if we could have the right solution after a practical. This way we could look at the übung again at home without getting frustrated and having something to compare too. 
I know there are multiple right solutions, but we dont have any starting point and its difficult for a beginner to even start on the exercise."
"2024/02/08 9:40:40 AM MEZ","3","3","2","Mostly in groups of two students","Es fühlt sich an als würde mir die Grammatik zu einer Sprache gezeigt (die Theorie) aber die Vokabeln die ich brauche um die Sprache zu sprechen werden ausgelassen. 
Als Anfänger wäre es hilfreich einen art ""Startpunkt"" zu den ganzen Masken zu kriegen und wie so ein Filter nicht nur in der Theorie aussieht sondern auch in der Programmiersprache","2","1","","2","2","1","2","","","5","5","4","2","","","","","","","",""
"2024/02/08 10:37:44 AM MEZ","3","2","3","Mostly in groups of four students","I often didn’t know what to do at all because I had to little knowledge and the exercise sheet provides to little support and you also don‘t have the whole lecture memorized after watching it once.","2","3","Too little support. The tutors always helped but from my point of view there should have been more advise from the exercise sheet.","2","3","3","4","","Same as before","2","4","4","3","","See before","","","","","","In general for someone who never coded before the organization in the data analysis part with Carl Hermann was much better. We watched the videos week by week and than had the tutorial every week directly after watching the video, sothat you have more knowledge memorized. Also for every tutorial we had a whole markdown sheet that gave an example how to use the code. After reading through the code I was able to use the code on a different dataset. Contrary in this course I constantly had the feeling that I can‘t do anything in python."
"2024/02/08 10:41:20 AM MEZ","3","4","1","Mostly in groups of four students","It was nice to learn a new programming language. Never less it was harder than imagined. Mostly because the work instruction weren't clear enough. If I asked I got help, but not enough to understand the task oder code. ","5","4","","2","1","2","2","","","3","4","4","5","","I had no idea what I was doing or what the code means. Even tho I have good knowledge coding in R Studio. However programming here in GitHub was too difficult. ","5","5","5","5","Look lession 3","Please change the assignments pdf in a more detailed one. Also some instructions like import as were missing. And in the beginning of each lesson explain the codes we're gonna use while programming. The time we had to learn python was way to short, that's very sad, because I was so interessed and looked forward to learn it properly "
"2024/02/08 11:00:08 AM MEZ","2","1","2","Mostly in groups of three students","I had difficulties starting tasks especially when we should define a function for the mean filter from scratch. ","1","4","","1","3","3","3","3","","2","4","4","2","","","2","4","","","","Aside from presenting the solutions after the session (which was good as we could ask questions immediately), it would be very helpful nonetheless to have the solutions of all exercises uploaded at the end of the course. "
"2024/02/08 11:00:15 AM MEZ","1","2","2","Mostly in groups of two students","","2","3","","1","3","2","3","3","","2","4","3","2","2","","2","4","5","5","Did take to long - did not know how to go about tuples ","I think the tasks are explained proficiciently clear on the excercise sheet, so that the time spent on the presentation, in my opinion, could have been more useful for working on our own or an extended explanation of previous tasks. 
Additionally, it would have been nice to get solutions for the task so that we could compare. "
"2024/02/08 11:03:11 AM MEZ","2","2","2","Mostly in groups of two students","Careless mistakes like forgetting colons or tabs in if sequences. Understanding how to translate my idea into proper code ","1","3","","2","2","3","3","3","","2","4","5","2","","1. Understanding how to center (ie why I needed to add q-n to p)
2. calculating the median and how to first define a list and then use the sorted list to get the median / in general how lists work ","2","5","","","- Figuring out how I can only change the x (or y) values of p while leaving the second coordinate the same
- Mixing up the value of p vs. the coordinates of the pixel I am accessing 
- understanding when p has to be accessed as a whole and when only one of the coordinates ","While it is nice to discuss the solutions during the session, it would also be beneficial to provide sample solutions (especially for the more difficult questions)"
"2024/02/08 11:29:22 AM MEZ","3","4","3","Mostly in groups of three students","Missing instructions for people who worked with python the first time","4","3","","3","3","3","4","5","","3","4","4","4","4","","3","4","4","4","","In my case, I think the organization of the course was not made for beginners like me or for people who worked the first time with python. With the information provided by the  sheet or the tutors were not helpful to fulfill the task. I was completely overwhelmed and did not know what to do. It’s nice that they offered us help all the time but I could not take the offer because for me the tasks weren’t clear so I was not even able to ask a question.
Due to that I would have really appreciated if solutions were provided with detailed information about the code.
In general the organization was not efficient to succeed. It would have been better to first watch one video and then the practical part for this lecture the next lesson (and not all lectures first and then all practical courses).

"
